"","Days","Wave_1","Wave_2","Wave_3"
"1",35,0.149160059980827,0,0.0429296726670445
"2",34,0,0,0
"3",33,0,0,0
"4",32,0,0,0
"5",31,0,0,0
"6",30,0,0,0
"7",29,0,0,0
"8",28,0,0,0
"9",27,0,0,0
"10",26,0,0.0271643958620077,0
"11",25,0,0.209953124041971,0
"12",24,0,0,0
"13",23,0,0.0410623923434362,0
"14",22,0.0874444392217064,0,0
"15",21,0.0839715976523943,0,0
"16",20,0.0762097355330521,0,0
"17",19,0.0935757164586927,0.025979697315027,0
"18",18,0.0539174700545142,0.0736173270236984,0
"19",17,0,0.0273435249453523,0
"20",16,0,0,0
"21",15,0,0,0
"22",14,0,0.0550756933002853,0
"23",13,0,0.000836972903473649,0
"24",12,0,0.234589038627144,0
"25",11,0,0.188059828877306,0
"26",10,0,0,0
"27",9,0.00844564384936469,0,0
"28",8,0.033461541224271,0,0
"29",7,0.00852270365578587,0.107020958556375,0
"30",6,0.0795836735543935,0,0
"31",5,0.0725898531822738,0,0
"32",4,0,0,0
"33",3,0,0,0
"34",2,0,0.00929704620392262,0
"35",1,0.253117565632724,0,0.957070327332956
