"","Data","Cases","Deaths","Recovered","Cases_Wave1","Cases_Wave2","Cases_Wave3","Cases_Wave4","Deaths_Wave1","Deaths_Wave2","Deaths_Wave3","Deaths_Wave4","Active_Wave1","Active_Wave2","Active_Wave3","Active_Wave4","Recovered_Wave1","Recovered_Wave2","Recovered_Wave3","Recovered_Wave4","Area","Model_Cases_Wave1","Model_Cases_Wave2","Model_Cases_Wave3","Model_Active_Wave1","Model_Active_Wave2","Model_Active_Wave3","Model_Deaths_Wave1","Model_Deaths_Wave2","Model_Deaths_Wave3","Model_Recovered_Wave1","Model_Recovered_Wave2","Model_Recovered_Wave3"
"1",2020-03-04,1,0,0,0.000114025198719057,2.61456299658517e-06,2.59095516251269e-19,3.45766455221349e-53,9.03488499744464e-05,1.15139012854485e-06,8.91381904924364e-18,2.70331620175979e-48,0.00019373661956444,1.62090344378761e-06,1.65328269978723e-18,2.66627591900227e-39,2.12589877427972e-06,4.00163959226347e-12,2.89643727614013e-28,3.33030270046338e-100,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-05,1,0,0,0.000135907569808491,3.07002973497857e-06,4.09790287849544e-19,9.91551899619052e-53,0.000109026660192015,1.35608073747651e-06,1.32078765206242e-17,6.88209100198783e-48,0.000215709466374307,1.89270951812798e-06,2.48184556608632e-18,5.48140647607065e-39,2.64663628772994e-06,5.63771177483734e-12,5.41613047515808e-28,2.47625929232044e-99,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-06,5,0,0,0.000161270992303479,3.5985875234716e-06,6.46339046671744e-19,2.8299739268381e-52,0.000131052806375968,1.59460720193616e-06,1.95256926025864e-17,1.74476241551762e-47,0.00023966826868807,2.20685247856168e-06,3.7171205654767e-18,1.12341058554361e-38,3.28428858479282e-06,7.92068812506725e-12,1.00939846891564e-27,1.82480326892138e-98,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-07,6,0,0,0.00019051916605089,4.21082870107974e-06,1.0166140173802e-18,8.03866272996909e-52,0.00015691464528845,1.87209129656873e-06,2.87994475475066e-17,4.40498573602406e-47,0.000265727021842406,2.56936116217148e-06,5.55447226999999e-18,2.29532718285005e-38,4.06240974885738e-06,1.10973198729627e-11,1.87492844968583e-27,1.33273408638615e-97,"Poland",0.000389031647640037,NA,NA,0.000374474831313816,NA,NA,1.35727891153071e-05,NA,NA,9.84027210859765e-07,NA,NA
"5",2020-03-08,11,0,0,0.000224073701192422,4.91868596171563e-06,1.59458899330466e-18,2.27258204637628e-51,0.000187147560594623,2.19434776212031e-06,4.23805049835939e-17,1.10750332343991e-46,0.00029399825251271,2.98702957754739e-06,8.28100829098319e-18,4.67530849954571e-38,5.00865948971407e-06,1.55048811731453e-11,3.47100540581835e-27,9.64669358657372e-97,"Poland",0.00049337984025799,NA,NA,0.000460908875839739,NA,NA,3.02759574993072e-05,NA,NA,2.19500691869977e-06,NA,NA
"6",2020-03-09,17,0,0,0.000262369233206813,5.73557064157045e-06,2.49424091302267e-18,6.39425166266944e-51,0.000222335288845672,2.56796450616145e-06,6.22232023984848e-17,2.77292352661682e-46,0.000324591860522878,3.46749949448906e-06,1.23176510666839e-17,9.493700592209e-38,6.15537698054495e-06,2.16029930870897e-11,6.40434051158385e-27,6.92023728033859e-96,"Poland",0.000621785727821011,NA,NA,0.000567267877943814,NA,NA,5.08324940575226e-05,NA,NA,3.68535581917039e-06,NA,NA
"7",2020-03-10,22,0,0,0.000305847353290084,6.67652050552131e-06,3.89067544025589e-18,1.79058222461362e-50,0.000263109279020415,3.00038997838738e-06,9.11470992538871e-17,6.9138996137145e-46,0.000357613865309776,4.01934981268368e-06,1.82800271485579e-17,1.92185392037157e-37,7.54020531289775e-06,3.0016120335149e-11,1.17772006232685e-26,4.92006693046262e-95,"Poland",0.000779027964849965,6.8168161240223e-06,NA,0.000697508446819458,6.04719200820331e-06,NA,7.60088746202433e-05,7.43598179611579e-07,NA,5.51064340996764e-06,2.60259362864052e-08,NA
"8",2020-03-11,31,0,0,0.000354949320780342,7.75835696565055e-06,6.05213457683234e-18,4.99037524131587e-50,0.000310146916158524,3.50002804698367e-06,1.33210238571945e-16,1.71672435780625e-45,0.000393165063566606,4.65219296240419e-06,2.70663713984819e-17,3.87850898482331e-37,9.20676490822554e-06,4.15901355307274e-11,2.15853087690579e-26,3.46679817304437e-94,"Poland",0.000972643191045952,7.98625574605083e-06,NA,0.000857870108071616,6.94765851560879e-06,NA,0.000107014529579986,1.00347558505386e-06,NA,7.75855339454895e-06,3.51216454768853e-08,NA
"9",2020-03-12,51,1,0,0.000410107559428892,8.99985153011544e-06,9.38834666946079e-18,1.38422448407425e-49,0.000364168441199703,4.07634066755892e-06,1.94239084145327e-16,4.24492861698957e-45,0.000431339606650742,5.37677855335089e-06,3.99841159812209e-17,7.80312950323057e-37,1.12053726149721e-05,5.74673618035868e-11,3.94296562890558e-26,2.42099353965388e-93,"Poland",0.00121073327618404,9.32983073098637e-06,NA,0.00105505917934066,7.98220856432573e-06,NA,0.00014515067304696,1.30205040272837e-06,NA,1.05234237959046e-05,4.55717640954931e-08,NA
"10",2020-03-13,68,2,0,0.000471735980324337,1.04219011264149e-05,1.45233441003407e-17,3.8213273338738e-49,0.00042593240671359,4.73995859117765e-06,2.82579009519516e-16,1.04527974885145e-44,0.000472223508465317,6.20510444217415e-06,5.89317342241974e-17,1.56506511932505e-36,1.35938013364868e-05,7.91858041255223e-11,7.17854208612395e-26,1.67558407964668e-92,"Poland",0.00150344500500599,1.08734700280388e-05,NA,0.00129747316259274,9.17080721740387e-06,NA,0.000192048337914278,1.64508484081652e-06,NA,1.39235044987851e-05,5.75779694285783e-08,NA
