"","time","S","I","R","D","T","areas","w_i"
"1","3","0.999686563415335","0.000313436584664874","0","0","0","Poland","1"
"2","4","0.999599106223339","0.000386545607510975","0","1.43481691496041e-05","8.74571919957044e-05","Poland","1"
"3","5","0.999491283090985","0.000476677602952436","0","3.2039306062113e-05","0.000195280324349675","Poland","1"
"4","6","0.999358347783005","0.000587798826390088","0","5.3853390605223e-05","0.000328215632330436","Poland","1"
"5","7","0.999195262072613","0.000724119135328691","0","8.06187920585303e-05","0.000491301342722347","Poland","1"
"6","8","0.998994067710529","0.00089228765176992","0","0.00011364463770102","0.000692495704806066","Poland","1"
"7","9","0.998746190171211","0.00109946718149159","0","0.000154342647297116","0.000940373244123833","Poland","1"
"8","10","0.998440872600041","0.00135464198355107","0","0.000204485416408011","0.00124569081529421","Poland","1"
"9","11","0.998065010548848","0.00166875478259327","0","0.00026623466855862","0.00162155286648702","Poland","1"
"10","12","0.997602158672204","0.00205553407574353","0","0.00034230725205266","0.00208440474313132","Poland","1"
"11","13","0.997032322481306","0.00253166560316067","0","0.000436011915533371","0.00265424093402917","Poland","1"
"12","14","0.996331007596756","0.00311758170505741","0","0.000551410698186982","0.00335555581857952","Poland","1"
"13","15","0.995468147277863","0.00383834997711637","0","0.000693502745020132","0.00421841613747163","Poland","1"
"14","16","0.994406951869947","0.00472462332283983","0","0.000868424807213108","0.00527961154538806","Poland","1"
"15","17","0.993102474099069","0.00581382152815519","0","0.00108370437277572","0.00658408931626603","Poland","1"
"16","18","0.991499907270173","0.00715152717873565","0","0.00134856555109178","0.00818665614516255","Poland","1"
"17","19","0.989532592277009","0.00879311169868003","0","0.00167429602431072","0.0101539711383259","Poland","1"
"18","20","0.987119706274372","0.0108056077843392","0","0.00207468594128861","0.012566857140963","Poland","1"
"19","21","0.984163724599199","0.013269745657901","0","0.0025665297429","0.0155228388161361","Poland","1"
"20","22","0.980547247506754","0.0162824663784562","0","0.0031702861147902","0.0191393159085815","Poland","1"
"21","23","0.976130009483343","0.0199592348422629","0","0.00391075567439444","0.0235565539319924","Poland","1"
"22","24","0.970745737155845","0.0244363867121292","0","0.00481787613202573","0.0289408262594901","Poland","1"
"23","25","0.964198984720555","0.0298733658966622","0","0.00592764938278305","0.0354875786947804","Poland","1"
"24","26","0.956262714056015","0.0364541703230094","0","0.00728311562097538","0.0434238493593199","Poland","1"
"25","27","0.946677051958706","0.0443875803492577","0","0.00893536769203664","0.0530095114566295","Poland","1"
"26","28","0.935150057684306","0.0539054011270661","0","0.0109445411886279","0.0645365057310291","Poland","1"
"27","29","0.921361630624061","0.0652576969350011","0","0.0133806724409374","0.0783249327912736","Poland","1"
"28","30","0.904971860768369","0.0787038588583489","0","0.0163242803732825","0.0947147026469665","Poland","1"
"29","31","0.885635232924795","0.094498291046813","0","0.0198664760283917","0.11405133049054","Poland","1"
"30","32","0.863021916412509","0.112869726442154","0","0.0241083571453359","0.136664647002825","Poland","1"
"31","33","0.836846737771888","0.133993845236951","0","0.0291594169911608","0.162839825643447","Poland","1"
"32","34","0.806905186648956","0.157960107189837","0","0.0351347061612069","0.192781376766379","Poland","1"
"33","35","0.773113885684016","0.184735554992423","0","0.0421505593235609","0.226572677731319","Poland","1"
"34","36","0.735550568626701","0.214130574424409","0","0.0503188569488898","0.264135994788634","Poland","1"
"35","37","0.694486339407679","0.245773620666025","0","0.0597400399262965","0.305200224007656","Poland","1"
"36","38","0.650401779864905","0.279102813814711","0","0.0704954063203841","0.34928478355043","Poland","1"
"37","39","0.603979385384445","0.313381087191632","0","0.0826395274239226","0.39570717803089","Poland","1"
"38","40","0.556068437301993","0.347737737581379","0","0.096193825116628","0.443618126113342","Poland","1"
"39","41","0.50762432627737","0.381233319965791","0","0.111142353756839","0.492062237137965","Poland","1"
"40","42","0.459630833892299","0.412938592157036","0","0.127430573950665","0.540055729523036","Poland","1"
"41","43","0.413018573369431","0.442014000177254","0","0.144967426453315","0.586667990045904","Poland","1"
"42","44","0.368593760380328","0.467775803343073","0","0.163630436276599","0.631092803035007","Poland","1"
"43","45","0.326988345932513","0.489738585553558","0","0.183273068513929","0.672698217482822","Poland","1"
"44","46","0.288636666240011","0.507630074609063","0","0.203733259150926","0.711049897175324","Poland","1"
"45","47","0.253777472519012","0.521380515702634","0","0.224842011778354","0.745909090896323","Poland","1"
"46","48","0.222475229820587","0.5310935976165","0","0.246431172562913","0.777211333594748","Poland","1"
"47","49","0.194654430346581","0.537005886756061","0","0.268339682897358","0.805032133068754","Poland","1"
"48","50","0.170136334130746","0.539445477662881","0","0.290418188206372","0.829550229284589","Poland","1"
"49","51","0.148674560231865","0.538793460904136","0","0.312531978863999","0.851012003183469","Poland","1"
"50","52","0.129986063119852","0.535451426771762","0","0.334562510108386","0.869700500295483","Poland","1"
"51","53","0.113775250488625","0.529817058242145","0","0.35640769126923","0.88591131292671","Poland","1"
"52","54","0.099751134014323","0.522267506819858","0","0.377981359165819","0.899935429401012","Poland","1"
"53","55","0.0876386591313568","0.513149131753775","0","0.399212209114869","0.912047904283978","Poland","1"
"54","56","0.0771852979607843","0.502772291988618","0","0.420042410050598","0.92250126545455","Poland","1"
"55","57","0.0681641305324495","0.491409784195591","0","0.440426085271959","0.931522432882885","Poland","1"
"56","58","0.060374498972954","0.479297716077446","0","0.4603277849496","0.939312064442381","Poland","1"
"57","59","0.0536410949527798","0.466637878865738","0","0.479721026181482","0.946045468462555","Poland","1"
"58","60","0.0478121338070742","0.453600916883663","0","0.498586949309263","0.951874429608261","Poland","1"
"59","61","0.0427570728692804","0.44032981516087","0","0.51691311196985","0.956929490546055","Poland","1"
"60","62","0.0383641842347699","0.426943388584323","0","0.534692427180907","0.961322379180565","Poland","1"
"61","63","0.0345381534800649","0.41353960449737","0","0.551922242022565","0.96514840993527","Poland","1"
"62","64","0.031197859675806","0.400198597522243","0","0.568603542801951","0.968488703739529","Poland","1"
"63","65","0.0282743459140793","0.386985371345845","0","0.584740282740076","0.971412217501256","Poland","1"
"64","66","0.0257090242280985","0.373952164221186","0","0.600338811550716","0.973977539187237","Poland","1"
"65","67","0.0234521136342356","0.361140491766703","0","0.615407394599061","0.9762344497811","Poland","1"
"66","68","0.0214612877669353","0.348582903662114","0","0.629955808570951","0.9782252756484","Poland","1"
"67","69","0.0197005340348654","0.336304456861488","0","0.643995009103646","0.97998602938047","Poland","1"
