"","db","Data","Cases","Daily","Prognoza","MA7","Hospitalized"
"1","Poland",2020-03-03,0,NA,0,NA,0
"2","Poland",2020-03-04,1,1,9.41468905699336,1.5,65
"3","Poland",2020-03-05,1,0,10.8970827799276,2.2,92
"4","Poland",2020-03-06,5,4,12.6346714030383,2.83333333333333,128
"5","Poland",2020-03-07,6,1,14.6686030859666,3.14285714285714,146
"6","Poland",2020-03-08,11,5,17.0445425811855,4.28571428571429,168
"7","Poland",2020-03-09,17,6,19.8125262974024,7.14285714285714,467
"8","Poland",2020-03-10,22,5,23.02662203986,9,220
"9","Poland",2020-03-11,31,9,26.7443603674149,14,317
"10","Poland",2020-03-12,51,20,31.0259083558351,16.2857142857143,384
"11","Poland",2020-03-13,68,17,35.9329630629248,22.8571428571429,521
"12","Poland",2020-03-14,104,36,41.5273513431131,30.8571428571429,526
"13","Poland",2020-03-15,125,21,47.869334879339,36.5714285714286,768
"14","Poland",2020-03-16,177,52,55.0156342041261,43.4285714285714,734
"15","Poland",2020-03-17,238,61,63.0172026486248,51,833
"16","Poland",2020-03-18,287,49,71.9167999145349,61.7142857142857,923
"17","Poland",2020-03-19,355,68,81.7464343862538,72.7142857142857,871
"18","Poland",2020-03-20,425,70,92.5247622425235,81.7142857142857,898
"19","Poland",2020-03-21,536,111,104.254548567536,94.7142857142857,1047
"20","Poland",2020-03-22,634,98,116.920309580274,109.142857142857,1084
"21","Poland",2020-03-23,749,115,130.486264372981,123.714285714286,1138
"22","Poland",2020-03-24,901,152,144.894727857718,137.714285714286,1479
"23","Poland",2020-03-25,1051,150,160.065072874706,157.428571428571,1615
"24","Poland",2020-03-26,1221,170,175.89337787503,175.428571428571,1606
"25","Poland",2020-03-27,1389,168,192.252856964005,186.571428571429,1696
"26","Poland",2020-03-28,1638,249,208.995141626259,201.428571428571,1719
"27","Poland",2020-03-29,1862,224,225.952448978214,214.714285714286,1879
"28","Poland",2020-03-30,2055,193,242.9406313235,246.428571428571,1900
"29","Poland",2020-03-31,2311,256,259.76305807871,284.857142857143,1900
"30","Poland",2020-04-01,2554,243,276.215236193566,284.142857142857,1924
"31","Poland",2020-04-02,2946,392,292.090031717791,320,2317
"32","Poland",2020-04-03,3383,437,307.18331599762,336.857142857143,2158
"33","Poland",2020-04-04,3627,244,321.299827866918,362.428571428571,2303
"34","Poland",2020-04-05,4102,475,334.259020584552,378.714285714286,2434
"35","Poland",2020-04-06,4413,311,345.900651113404,375.571428571429,2444
"36","Poland",2020-04-07,4848,435,356.089870912548,367.428571428571,2476
"37","Poland",2020-04-08,5205,357,364.721592190774,389.857142857143,2425
"38","Poland",2020-04-09,5575,370,371.723931136549,367.428571428571,2473
"39","Poland",2020-04-10,5955,380,377.060568706252,360.142857142857,2409
"40","Poland",2020-04-11,6356,401,380.73191801733,336.285714285714,2426
"41","Poland",2020-04-12,6674,318,382.775042479782,339.571428571429,2481
"42","Poland",2020-04-13,6934,260,383.262327250838,334.714285714286,2510
"43","Poland",2020-04-14,7202,268,382.298964910637,346.285714285714,2471
"44","Poland",2020-04-15,7582,380,380.019370937945,340.857142857143,2499
"45","Poland",2020-04-16,7918,336,376.582692386255,373.285714285714,2607
"46","Poland",2020-04-17,8379,461,372.167611391542,379.857142857143,2673
"47","Poland",2020-04-18,8742,363,366.966671740085,379.142857142857,2725
"48","Poland",2020-04-19,9287,545,361.180370463818,369.571428571429,2482
"49","Poland",2020-04-20,9593,306,355.011256970174,376.142857142857,2511
"50","Poland",2020-04-21,9856,263,348.658270086665,359,2914
"51","Poland",2020-04-22,10169,313,342.311519940713,361.571428571429,3505
"52","Poland",2020-04-23,10551,382,336.147688800163,332.857142857143,3099
"53","Poland",2020-04-24,10892,341,330.326185353356,329.857142857143,3095
"54","Poland",2020-04-25,11273,381,324.98614317278,337.428571428571,2821
"55","Poland",2020-04-26,11617,344,320.244309112028,353,2749
"56","Poland",2020-04-27,11902,285,316.193823821751,332.285714285714,2759
"57","Poland",2020-04-28,12218,316,312.903856810121,316.142857142857,2934
"58","Poland",2020-04-29,12640,422,310.420024435363,300.285714285714,2973
"59","Poland",2020-04-30,12877,237,308.765492273969,296.571428571429,3012
"60","Poland",2020-05-01,13105,228,307.942644242285,300.571428571429,2789
"61","Poland",2020-05-02,13375,270,307.935189864492,316.142857142857,2649
"62","Poland",2020-05-03,13693,318,308.710577849952,300,2761
"63","Poland",2020-05-04,14006,313,310.222587894704,310,2653
"64","Poland",2020-05-05,14431,425,312.413982245141,323,2738
"65","Poland",2020-05-06,14740,309,315.219112727208,325.142857142857,2760
"66","Poland",2020-05-07,15047,307,318.566396224217,329,2771
"67","Poland",2020-05-08,15366,319,322.380590564799,331.428571428571,2758
"68","Poland",2020-05-09,15651,285,326.584822150613,350.142857142857,2768
"69","Poland",2020-05-10,15996,345,331.102335280479,352,2658
"70","Poland",2020-05-11,16326,330,335.857950109681,366.857142857143,2598
"71","Poland",2020-05-12,16882,556,340.779230866748,378.571428571429,2571
"72","Poland",2020-05-13,17204,322,345.797377933221,372.285714285714,2648
"73","Poland",2020-05-14,17615,411,350.847866508009,361.857142857143,2538
"74","Poland",2020-05-15,18016,401,355.870860863683,365.571428571429,2579
"75","Poland",2020-05-16,18257,241,360.811436858068,340.857142857143,2407
"76","Poland",2020-05-17,18529,272,365.619646710397,362.142857142857,2459
"77","Poland",2020-05-18,18885,356,370.250459481831,361.142857142857,2544
"78","Poland",2020-05-19,19268,383,374.663608643617,371.857142857143,2490
"79","Poland",2020-05-20,19739,471,378.823375000125,381.714285714286,2414
"80","Poland",2020-05-21,20143,404,382.698329456879,394.428571428571,2330
"81","Poland",2020-05-22,20619,476,386.261056035764,392.285714285714,2261
"82","Poland",2020-05-23,20929,310,389.487871430567,400.857142857143,2271
"83","Poland",2020-05-24,21290,361,392.358553490295,390.142857142857,2242
"84","Poland",2020-05-25,21631,341,394.856087474944,382.714285714286,2268
"85","Poland",2020-05-26,22074,443,396.966435848749,362.285714285714,2171
"86","Poland",2020-05-27,22470,396,398.678334807699,376.857142857143,2320
"87","Poland",2020-05-28,22822,352,399.983118687904,356.428571428571,2248
"88","Poland",2020-05-29,23155,333,400.874571843602,362,2035
"89","Poland",2020-05-30,23567,412,401.348806470652,331.571428571429,2207
"90","Poland",2020-05-31,23785,218,401.404164122257,316.714285714286,2134
"91","Poland",2020-06-01,24165,380,401.041138251025,318,2181
"92","Poland",2020-06-02,24395,230,400.262314947912,322.142857142857,2219
"93","Poland",2020-06-03,24687,292,399.072329070298,345.571428571429,2150
"94","Poland",2020-06-04,25048,361,397.477833101374,396.571428571429,2101
"95","Poland",2020-06-05,25410,362,395.487476312263,427.857142857143,2085
"96","Poland",2020-06-06,25986,576,393.111892066776,452.142857142857,2128
"97","Poland",2020-06-07,26561,575,390.363691384792,450.714285714286,2007
